path,n_reactions,batch_size,seed,epochs,total_time_s,time_per_epoch_s
baseline,1000,50,0,5,8.329,1.666
baseline,1000,50,1,5,8.307,1.661
baseline,1000,50,2,5,8.337,1.667
cuik,1000,50,0,5,5.477,1.095
cuik,1000,50,1,5,5.556,1.111
cuik,1000,50,2,5,5.572,1.114
baseline,5000,50,0,5,24.04,4.808
baseline,5000,50,1,5,28.929,5.786
baseline,5000,50,2,5,24.299,4.86
cuik,5000,50,0,5,9.612,1.922
cuik,5000,50,1,5,9.703,1.941
cuik,5000,50,2,5,9.583,1.917
baseline,10000,50,0,5,43.014,8.603
baseline,10000,50,1,5,47.465,9.493
baseline,10000,50,2,5,48.965,9.793
cuik,10000,50,0,5,16.12,3.224
cuik,10000,50,1,5,16.021,3.204
cuik,10000,50,2,5,15.512,3.102
baseline,50000,50,0,5,200.703,40.141
baseline,50000,50,1,5,199.585,39.917
baseline,50000,50,2,5,199.655,39.931
cuik,50000,50,0,5,59.041,11.808
cuik,50000,50,1,5,59.848,11.97
cuik,50000,50,2,5,58.521,11.704
baseline,100000,50,0,5,391.851,78.37
baseline,100000,50,1,5,391.693,78.339
baseline,100000,50,2,5,393.164,78.633
cuik,100000,50,0,5,116.475,23.295
cuik,100000,50,1,5,115.387,23.077
cuik,100000,50,2,5,117.561,23.512
