batch_size,path,trial,time_per_rxn_us
1,python,0,1156.0246348381042
1,cuik,0,154.56415712833405
1,python,1,785.4606956243515
1,cuik,1,113.20412158966064
1,python,2,780.4185152053833
1,cuik,2,106.24155402183533
1,python,3,1322.1502304077148
1,cuik,3,203.8758248090744
1,python,4,1340.1620090007782
1,cuik,4,194.75072622299194
1,python,5,967.0257568359375
1,cuik,5,128.72368097305298
1,python,6,958.6568921804428
1,cuik,6,120.94900012016296
1,python,7,930.7172149419785
1,cuik,7,132.46014714241028
1,python,8,925.2037853002548
1,cuik,8,128.05312871932983
1,python,9,981.0794144868851
1,cuik,9,143.7310129404068
1,python,10,954.8105299472809
1,cuik,10,130.336731672287
1,python,11,1025.9561240673065
1,cuik,11,148.54967594146729
1,python,12,1019.9062526226044
1,cuik,12,144.6940004825592
1,python,13,1315.6253844499588
1,cuik,13,178.0688762664795
1,python,14,1301.4115393161774
1,cuik,14,175.41460692882538
1,python,15,798.6687123775482
1,cuik,15,118.37482452392578
1,python,16,790.2514189481735
1,cuik,16,112.87257075309753
1,python,17,1067.357137799263
1,cuik,17,147.7804034948349
1,python,18,1067.1429336071014
1,cuik,18,146.498903632164
1,python,19,900.1381695270538
1,cuik,19,123.23446571826935
10,python,0,932.2086349129677
10,cuik,0,119.12602931261063
10,python,1,911.785289645195
10,cuik,1,124.33882802724837
10,python,2,896.0993960499763
10,cuik,2,115.69559574127197
10,python,3,1022.4360972642897
10,cuik,3,131.099671125412
10,python,4,670.9562614560127
10,cuik,4,93.87806057929993
10,python,5,1110.9430342912674
10,cuik,5,138.73428106307983
10,python,6,785.9334349632263
10,cuik,6,103.60348969697952
10,python,7,909.1030806303024
10,cuik,7,120.96632272005081
10,python,8,929.8363700509071
10,cuik,8,116.28363281488419
10,python,9,1011.9851678609848
10,cuik,9,131.65976852178574
10,python,10,873.7750351428986
10,cuik,10,119.6378841996193
10,python,11,776.3409987092018
10,cuik,11,99.67014193534851
10,python,12,1084.1192677617073
10,cuik,12,142.90008693933487
10,python,13,954.1675448417664
10,cuik,13,124.76481497287752
10,python,14,961.2290188670158
10,cuik,14,121.46160006523132
10,python,15,999.0014135837556
10,cuik,15,131.28109276294708
10,python,16,958.537682890892
10,cuik,16,126.3447105884552
10,python,17,971.2709113955498
10,cuik,17,126.30373239517212
10,python,18,943.7046945095062
10,cuik,18,119.85562741756439
10,python,19,899.2630988359451
10,cuik,19,115.65051972866058
50,python,0,954.398512840271
50,cuik,0,115.92734605073929
50,python,1,933.2679957151413
50,cuik,1,116.56433343887329
50,python,2,959.9009901285172
50,cuik,2,120.30310928821564
50,python,3,926.4327958226204
50,cuik,3,117.85220354795456
50,python,4,879.0341019630432
50,cuik,4,111.20222508907318
50,python,5,1016.7996585369111
50,cuik,5,130.22508472204208
50,python,6,947.6140141487122
50,cuik,6,118.0151104927063
50,python,7,959.2883661389351
50,cuik,7,122.60369956493378
50,python,8,915.1288121938705
50,cuik,8,116.84387922286987
50,python,9,909.1314300894737
50,cuik,9,117.30078607797623
50,python,10,953.6698833107948
50,cuik,10,119.85998600721359
50,python,11,1068.51264834404
50,cuik,11,130.5919885635376
50,python,12,966.7341038584709
50,cuik,12,120.92605233192444
50,python,13,1031.2480852007866
50,cuik,13,125.1131296157837
50,python,14,902.4062380194664
50,cuik,14,111.5364208817482
50,python,15,921.6475486755371
50,cuik,15,115.1849702000618
50,python,16,982.4687987565995
50,cuik,16,122.92500585317612
50,python,17,913.6297181248665
50,cuik,17,112.06448078155518
50,python,18,940.3520077466965
50,cuik,18,119.5872575044632
50,python,19,985.492467880249
50,cuik,19,121.9768077135086
100,python,0,973.9426709711552
100,cuik,0,123.56216087937354
100,python,1,933.6573258042336
100,cuik,1,117.97944083809853
100,python,2,942.8270347416401
100,cuik,2,117.38352477550507
100,python,3,1003.4582763910295
100,cuik,3,124.67976659536362
100,python,4,958.8364139199257
100,cuik,4,117.69851669669151
100,python,5,943.9840167760849
100,cuik,5,118.38272213935852
100,python,6,922.499168664217
100,cuik,6,114.51240628957748
100,python,7,948.372557759285
100,cuik,7,116.93369597196579
100,python,8,994.6348518133163
100,cuik,8,122.65535071492195
100,python,9,959.8072431981564
100,cuik,9,121.21571227908134
100,python,10,922.5435554981232
100,cuik,10,115.71846902370453
100,python,11,888.4128928184509
100,cuik,11,110.48784479498863
100,python,12,907.3945134878159
100,cuik,12,114.9551197886467
100,python,13,974.0443900227547
100,cuik,13,122.49721214175224
100,python,14,881.9214813411236
100,cuik,14,110.22914201021194
100,python,15,938.7077949941158
100,cuik,15,117.40867048501968
100,python,16,1000.4941560328006
100,cuik,16,122.44511395692825
100,python,17,947.6775303483009
100,cuik,17,118.2582788169384
100,python,18,980.2864864468576
100,cuik,18,125.27542188763617
100,python,19,935.3000298142433
100,cuik,19,116.36858806014061
500,python,0,917.7532978355885
500,cuik,0,82.93291926383972
500,python,1,952.841691672802
500,cuik,1,88.45559507608414
500,python,2,953.21911200881
500,cuik,2,88.15418556332588
500,python,3,944.4685243070126
500,cuik,3,87.50014379620552
500,python,4,959.7747065126896
500,cuik,4,89.64264765381813
500,python,5,953.8702890276909
500,cuik,5,85.91745793819427
500,python,6,962.7170525491238
500,cuik,6,92.41332113742828
500,python,7,939.4990168511868
500,cuik,7,89.51165899634361
500,python,8,926.5307076275349
500,cuik,8,83.26458558440208
500,python,9,924.6967770159245
500,cuik,9,86.28349751234055
500,python,10,980.3922139108182
500,cuik,10,95.03403678536415
500,python,11,946.1308792233467
500,cuik,11,85.85339784622192
500,python,12,947.7003999054432
500,cuik,12,86.8988037109375
500,python,13,950.0945806503296
500,cuik,13,86.97663247585297
500,python,14,776.215422898531
500,cuik,14,85.93657612800598
500,python,15,732.4301861226559
500,cuik,15,90.97592160105705
500,python,16,711.3874182105064
500,cuik,16,89.22020718455315
500,python,17,725.5950719118118
500,cuik,17,85.6224000453949
500,python,18,716.1740399897099
500,cuik,18,86.05680614709854
500,python,19,746.4967705309391
500,cuik,19,89.96624127030373
1000,python,0,728.9563398808241
1000,cuik,0,96.10952064394951
1000,python,1,714.4192773848772
1000,cuik,1,93.66281516849995
1000,python,2,729.2959149926901
1000,cuik,2,100.6094478070736
1000,python,3,730.9880759567022
1000,cuik,3,97.75486029684544
1000,python,4,721.8572627753019
1000,cuik,4,100.30830465257168
1000,python,5,721.04861587286
1000,cuik,5,94.21074576675892
1000,python,6,718.7234722077847
1000,cuik,6,91.84862487018108
1000,python,7,727.0924914628267
1000,cuik,7,91.07057750225067
1000,python,8,717.2759976238012
1000,cuik,8,98.17484766244888
1000,python,9,712.9168771207333
1000,cuik,9,94.98840011656284
1000,python,10,724.7669696807861
1000,cuik,10,93.26556511223316
1000,python,11,722.3205771297216
1000,cuik,11,94.19945441186428
1000,python,12,718.3982562273741
1000,cuik,12,99.22116249799728
1000,python,13,713.1991405040026
1000,cuik,13,91.34366735816002
1000,python,14,703.154731541872
1000,cuik,14,90.74358083307743
1000,python,15,725.7349770516157
1000,cuik,15,91.14298783242702
1000,python,16,716.9410213828087
1000,cuik,16,93.23577582836151
1000,python,17,724.1226751357317
1000,cuik,17,90.56181460618973
1000,python,18,726.7533391714096
1000,cuik,18,93.36807951331139
1000,python,19,726.2609228491783
1000,cuik,19,97.45884127914906
