path,n_reactions,trial,total_time_s,rxns_per_sec
baseline,1000,0,4.447,224.9
baseline,1000,1,4.465,224.0
baseline,1000,2,4.496,222.4
baseline,5000,0,7.58,659.6
baseline,5000,1,7.635,654.9
baseline,5000,2,7.583,659.4
baseline,10000,0,11.805,847.1
baseline,10000,1,11.845,844.2
baseline,10000,2,11.664,857.3
baseline,50000,0,43.569,1147.6
baseline,50000,1,44.007,1136.2
baseline,50000,2,43.43,1151.3
baseline,100000,0,82.696,1209.2
baseline,100000,1,81.838,1221.9
baseline,100000,2,79.985,1250.2
cuik,1000,0,3.784,264.3
cuik,1000,1,3.809,262.5
cuik,1000,2,3.782,264.4
cuik,5000,0,4.291,1165.2
cuik,5000,1,4.297,1163.6
cuik,5000,2,4.353,1148.7
cuik,10000,0,5.042,1983.3
cuik,10000,1,5.057,1977.3
cuik,10000,2,5.134,1947.9
cuik,50000,0,10.465,4777.8
cuik,50000,1,10.646,4696.7
cuik,50000,2,10.519,4753.4
cuik,100000,0,17.448,5731.4
cuik,100000,1,17.295,5782.2
cuik,100000,2,17.47,5724.0
