path,n_reactions,batch_size,seed,epochs,total_time_s,time_per_epoch_s
baseline,1000,50,0,5,7.905,1.581
baseline,1000,50,1,5,7.884,1.577
baseline,1000,50,2,5,7.961,1.592
cuik,1000,50,0,5,5.379,1.076
cuik,1000,50,1,5,5.312,1.062
cuik,1000,50,2,5,5.339,1.068
baseline,5000,50,0,5,22.827,4.565
baseline,5000,50,1,5,22.953,4.591
baseline,5000,50,2,5,22.277,4.455
cuik,5000,50,0,5,9.632,1.926
cuik,5000,50,1,5,9.655,1.931
cuik,5000,50,2,5,10.018,2.004
baseline,10000,50,0,5,41.178,8.236
baseline,10000,50,1,5,40.956,8.191
baseline,10000,50,2,5,40.646,8.129
cuik,10000,50,0,5,15.842,3.168
cuik,10000,50,1,5,15.354,3.071
cuik,10000,50,2,5,16.053,3.211
baseline,50000,50,0,5,190.258,38.052
baseline,50000,50,1,5,186.386,37.277
baseline,50000,50,2,5,189.859,37.972
cuik,50000,50,0,5,59.532,11.906
cuik,50000,50,1,5,60.185,12.037
cuik,50000,50,2,5,61.804,12.361
baseline,100000,50,0,5,380.742,76.148
baseline,100000,50,1,5,377.883,75.577
baseline,100000,50,2,5,371.429,74.286
cuik,100000,50,0,5,113.711,22.742
cuik,100000,50,1,5,118.077,23.615
cuik,100000,50,2,5,120.565,24.113
